question,state,year,applies to,response,citations,cautions
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,HI,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,AK,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,OR,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,WA,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,CA,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,NV,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,ID,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,UT,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,AZ,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,MT,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,WY,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,NM,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,CO,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,ND,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,SD,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,NE,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,TX,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,KS,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,OK,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,MN,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,IA,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,LA,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,AR,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,MO,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,MS,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,WI,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,IL,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,AL,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,TN,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,IN,1991,All,No,,
Does state law require law enforcement to remove firearms from the scene of a domestic violence incident?,KY,1991,All,No,,
