question,state,year,applies to,response,citations,cautions
Does the state have a minimum age requirement for possessing a rifle or shotgun?,HI,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,AK,1991,All,1,Alaska Stat. § 11.61.220(a)(3),An unemancipated minor under the age of 16 is prohibited from possessing a firearm without the consent of the parent or guardian of the minor.
Does the state have a minimum age requirement for possessing a rifle or shotgun?,OR,1991,All,1,Or. Rev. Stat. § 166.250,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,WA,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,CA,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NV,1991,All,1,Nev. Rev. Stat. § 202.300(1),
Does the state have a minimum age requirement for possessing a rifle or shotgun?,ID,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,UT,1991,All,1,Utah Code § 76-10-509,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,AZ,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,MT,1991,All,0,,"Montana law prohibits a parent or guardian from allowing a child under 14 years to carry or use any firearms in public, subject to limited exceptions.  Mont. Code § 45-8-344."
Does the state have a minimum age requirement for possessing a rifle or shotgun?,WY,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NM,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,CO,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,ND,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,SD,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NE,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,TX,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,KS,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,OK,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,MN,1991,All,1,Minn. Stat. § 97B.021(a),
Does the state have a minimum age requirement for possessing a rifle or shotgun?,IA,1991,All,0,,"State law bars transfers to people under 18, but there is no possession prohibition. Iowa Code § 724.22."
Does the state have a minimum age requirement for possessing a rifle or shotgun?,LA,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,AR,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,MO,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,MS,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,WI,1991,All,1,Wis. Stat. § 29.304; Wis. Stat. § 948.60(3)(c),
Does the state have a minimum age requirement for possessing a rifle or shotgun?,IL,1991,All,1,"Ill. Rev. Stat., Ch. 38, para. 83-4; Ill. Rev. Stat., Ch. 38, para. 83-8",
Does the state have a minimum age requirement for possessing a rifle or shotgun?,AL,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,TN,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,IN,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,KY,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,MI,1991,All,1,Mich. Comp. Laws § 750.234f,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,GA,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,OH,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,FL,1991,All,1,Fla. Stat. § 790.22(1),
Does the state have a minimum age requirement for possessing a rifle or shotgun?,WV,1991,All,1,W. Va. Code § 61-7-8,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,SC,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NC,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,PA,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,VA,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,MD,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,DC,1991,All,1,D.C. Code § 22-3207; D.C. Code § 22-4507,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NY,1991,All,1,N.Y. Penal Law § 265.05,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,DE,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NJ,1991,All,1,N.J. Stat. § 2C:58-6.1,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,CT,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,VT,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NH,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,MA,1991,All,1,"Mass. Gen. Laws ch. 140, § 129B",
Does the state have a minimum age requirement for possessing a rifle or shotgun?,RI,1991,All,1,R.I. Gen. Laws § 11-47-33,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,ME,1991,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,HI,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,AK,1992,All,1,Alaska Stat. § 11.61.220(a)(3),An unemancipated minor under the age of 16 is prohibited from possessing a firearm without the consent of the parent or guardian of the minor.
Does the state have a minimum age requirement for possessing a rifle or shotgun?,OR,1992,All,1,Or. Rev. Stat. § 166.250,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,WA,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,CA,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NV,1992,All,1,Nev. Rev. Stat. § 202.300(1),
Does the state have a minimum age requirement for possessing a rifle or shotgun?,ID,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,UT,1992,All,1,Utah Code § 76-10-509,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,AZ,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,MT,1992,All,0,,"Montana law prohibits a parent or guardian from allowing a child under 14 years to carry or use any firearms in public, subject to limited exceptions.  Mont. Code § 45-8-344."
Does the state have a minimum age requirement for possessing a rifle or shotgun?,WY,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NM,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,CO,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,ND,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,SD,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,NE,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,TX,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,KS,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,OK,1992,All,0,,
Does the state have a minimum age requirement for possessing a rifle or shotgun?,MN,1992,All,1,Minn. Stat. § 97B.021(a),
