question,state,year,applies to,response,citations,cautions
Does the state allow the concealed carry of handguns in public?,HI,1991,All,Yes,Haw. Rev. Stat. § 134-9(a),
Does the state allow the concealed carry of handguns in public?,AK,1991,All,No,,
Does the state allow the concealed carry of handguns in public?,OR,1991,All,Yes,Or. Rev. Stat. § 166.291,
Does the state allow the concealed carry of handguns in public?,WA,1991,All,Yes,Wash. Rev. Code § 9.41.070,
Does the state allow the concealed carry of handguns in public?,CA,1991,All,Yes,Cal. Penal Code § 12050,
Does the state allow the concealed carry of handguns in public?,NV,1991,All,Yes,Nev. Rev. Stat. § 202.350(4),
Does the state allow the concealed carry of handguns in public?,ID,1991,All,Yes,Idaho Code § 18-3302,
Does the state allow the concealed carry of handguns in public?,UT,1991,All,Yes,Utah Code § 76-10-513,
Does the state allow the concealed carry of handguns in public?,AZ,1991,All,No,,
Does the state allow the concealed carry of handguns in public?,MT,1991,All,Yes,Mont. Code § 45-8-321,
Does the state allow the concealed carry of handguns in public?,WY,1991,All,Yes,Wyo. Stat. § 6-8-104,
Does the state allow the concealed carry of handguns in public?,NM,1991,All,No,,"The carrying of a concealed loaded firearm was prohibited in public, except by peace officers, until July 1, 2001. Concealed handgun permit holders were allowed to carry concealed handguns in public starting July 1, 2001, but the Department of Public Safety was not authorized to begin issuing permits until January 1, 2004."
Does the state allow the concealed carry of handguns in public?,CO,1991,All,Yes,Colo. Rev. Stat. § 18-12-105.1,
Does the state allow the concealed carry of handguns in public?,ND,1991,All,Yes,N.D. Cent. Code § 62.1-04-03,
Does the state allow the concealed carry of handguns in public?,SD,1991,All,Yes,S.D. Codified Laws § 23-7-7,
Does the state allow the concealed carry of handguns in public?,NE,1991,All,No,,
Does the state allow the concealed carry of handguns in public?,TX,1991,All,No,,
Does the state allow the concealed carry of handguns in public?,KS,1991,All,No,,
Does the state allow the concealed carry of handguns in public?,OK,1991,All,No,,
Does the state allow the concealed carry of handguns in public?,MN,1991,All,Yes,Minn. Stat. § 624.714,
Does the state allow the concealed carry of handguns in public?,IA,1991,All,Yes,Iowa Code § 724.11,
Does the state allow the concealed carry of handguns in public?,LA,1991,All,Yes,La. Rev. Stat. § 40:1379.1,
Does the state allow the concealed carry of handguns in public?,AR,1991,All,No,,
Does the state allow the concealed carry of handguns in public?,MO,1991,All,No,,
Does the state allow the concealed carry of handguns in public?,MS,1991,All,Yes,Miss. Code § 45-9-101,
Does the state allow the concealed carry of handguns in public?,WI,1991,All,No,,
Does the state allow the concealed carry of handguns in public?,IL,1991,All,No,,
