State-Year,State,Year,background_checks_q2_neighbors,criminals_q2_neighbors,criminals_q3_neighbors,criminals_q4_neighbors,criminals_q5_neighbors,criminals_q7_neighbors,criminals_q8_neighbors,criminals_q9_neighbors,domestic_violence_q1_neighbors,domestic_violence_q2_neighbors,domestic_violence_q4_neighbors,domestic_violence_q5_neighbors,domestic_violence_q7_neighbors,domestic_violence_q9_neighbors,domestic_violence_q11_neighbors,domestic_violence_q12_neighbors,domestic_violence_q13_neighbors,domestic_violence_q14_neighbors,domestic_violence_q15_neighbors,domestic_violence_q16_neighbors,domestic_violence_q17_neighbors,drugs_and_alcohol_q1_neighbors,drugs_and_alcohol_q2_neighbors,drugs_and_alcohol_q3_neighbors,drugs_and_alcohol_q4_neighbors,drugs_and_alcohol_q7_neighbors,drugs_and_alcohol_q8_neighbors,drugs_and_alcohol_q9_neighbors,drugs_and_alcohol_q10_neighbors,drugs_and_alcohol_q11_neighbors,drugs_and_alcohol_q12_neighbors,mental_illness_q1_neighbors,mental_illness_q2_neighbors,mental_illness_q3_neighbors,mental_illness_q4_neighbors,mental_illness_q5_neighbors,mental_illness_q6_neighbors,mental_illness_q7_neighbors,mental_illness_q8_neighbors,mental_illness_q9_neighbors,mental_illness_q10_neighbors,mental_illness_q11_neighbors,mental_illness_q12_neighbors,minimum_age_q1_neighbors,minimum_age_q2_neighbors,minimum_age_q3_neighbors,minimum_age_q4_neighbors,permitting_process_q1_neighbors,permitting_process_q2_neighbors,permitting_process_q3_neighbors,permitting_process_q5_neighbors,permitting_process_q6_neighbors,permitting_process_q7_neighbors,permitting_process_q8_neighbors,permitting_process_q9_neighbors,permitting_process_q10_neighbors,permitting_process_q12_neighbors,permitting_process_q13_neighbors,other_q1_neighbors,other_q2_neighbors,other_q3_neighbors,other_q4_neighbors,other_q5_neighbors,other_q6_neighbors,other_q7_neighbors,other_q8_neighbors,other_q9_neighbors
Hawaii 1991,Hawaii,1991,2.0,8.0,4.0,4.0,4.0,4.0,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Idaho 1991,Idaho,1991,0.0,4.166666666666667,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3333333333333333,2.0,0.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,4.0,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,2.0,2.0,2.0,3.6666666666666665,1.6666666666666667,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666
Illinois 1991,Illinois,1991,0.6,4.0,0.0,0.0,0.0,4.0,8.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.0,0.0,0.0,0.0,0.0,0.8,0.0,3.2,2.4,0.8,3.2,2.4,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,2.4,2.4,0.0,1.6,3.2,0.8,2.4,2.4,4.0,3.2,3.2,3.2,2.4,1.6,1.6,0.0,2.8,2.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,2.4,1.2
Indiana 1991,Indiana,1991,0.75,4.0,1.0,1.0,0.0,3.0,6.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.25,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,2.5,2.5,0.0,0.0,1.0,0.25,0.0,0.0,0.0,3.0,1.5
Iowa 1991,Iowa,1991,0.6666666666666666,5.166666666666667,0.16666666666666666,0.6666666666666666,0.0,3.3333333333333335,6.666666666666667,0.8333333333333334,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.75,0.0,0.0,0.3333333333333333,0.16666666666666666,1.5,0.0,4.0,3.3333333333333335,0.6666666666666666,3.3333333333333335,3.3333333333333335,0.6666666666666666,1.0,1.0,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,2.6666666666666665,2.6666666666666665,0.0,2.6666666666666665,2.6666666666666665,2.0,2.6666666666666665,2.6666666666666665,4.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665,2.6666666666666665,0.0,0.0,1.1666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,2.6666666666666665,1.3333333333333333
Kansas 1991,Kansas,1991,0.5,5.5,0.25,0.0,0.0,3.0,6.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.25,0.0,1.25,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.25,0.25,0.25,0.25,0.25,1.25,0.25,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.75,0.25,0.25,0.25,0.0,3.0,1.5
Kentucky 1991,Kentucky,1991,0.5714285714285714,4.714285714285714,0.5714285714285714,0.5714285714285714,0.0,2.2857142857142856,4.571428571428571,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.8571428571428572,0.0,0.0,0.5714285714285714,0.0,2.2857142857142856,0.0,2.2857142857142856,1.7142857142857142,0.5714285714285714,2.2857142857142856,1.7142857142857142,0.5714285714285714,1.1428571428571428,1.1428571428571428,0.0,1.1428571428571428,1.1428571428571428,0.5714285714285714,1.1428571428571428,0.0,0.0,1.7142857142857142,1.7142857142857142,0.5714285714285714,1.7142857142857142,4.0,1.1428571428571428,2.857142857142857,1.7142857142857142,4.0,2.857142857142857,2.857142857142857,2.2857142857142856,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.5714285714285714,3.142857142857143,2.5714285714285716,0.0,0.0,1.1428571428571428,0.5714285714285714,0.0,0.5714285714285714,0.0,1.7142857142857142,1.4285714285714286
Louisiana 1991,Louisiana,1991,0.0,6.666666666666667,0.0,0.0,0.0,2.6666666666666665,6.666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3333333333333333,4.0,4.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,2.6666666666666665,4.0,0.0,1.3333333333333333,2.6666666666666665,0.0,2.6666666666666665,2.6666666666666665,4.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665
Maine 1991,Maine,1991,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maryland 1991,Maryland,1991,0.0,6.25,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
