question,state,year,applies to,response,citations,cautions
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,HI,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,AK,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,OR,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,WA,1991,All,Yes,Wash. Rev. Code § 9.41.070(1)(g),
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,CA,1991,All,Yes,Cal. Penal Code § 12021(a),
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,NV,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,ID,1991,All,Yes,Idaho Code § 18-3302,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,UT,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,AZ,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,MT,1991,All,Yes,Mont. Code § 45-8-321,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,WY,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,NM,1991,All,N/A,,"The carrying of a concealed loaded firearm was prohibited in public, except by peace officers, until July 1, 2001. Concealed handgun permit holders were allowed to carry concealed handguns in public starting July 1, 2001, but the Department of Public Safety was not authorized to begin issuing permits until January 1, 2004."
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,CO,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,ND,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,SD,1991,All,Yes,S.D. Codified Laws § 23-7-7.1,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,NE,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,TX,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,KS,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,OK,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,MN,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,IA,1991,All,Yes,Iowa Code § 724.8,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,LA,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,AR,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,MO,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,MS,1991,All,Yes,Miss. Code § 45-9-101(2)(e),
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,WI,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,IL,1991,All,N/A,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,AL,1991,All,Yes,Ala. Code § 13A-11-75(a),
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,TN,1991,All,No,,
Does state law disqualify any other categories of unlawful drug users from getting concealed carry permits?,IN,1991,All,No,,
